StreetName,StreetCode
DRAKE AVE,1435
MULLER AVE,2845
BRYSON AVE,963
FOREST ST,1873
S GREENLEAF AVE,3382
DOROTHY ST,1424
MARBLE ST,2678
KEIBER CT,2391
GLEN ST,1975
VIRGINIA PL,3858
MORGAN LN,2818
FAHY AVE,1801
ARLENE ST,590
DEVON LOOP,1380
FERNDALE AVE,1834
POTTER AVE,3153
ADA DR,495
COOKE ST,1214
DEVENS ST,1376
BELLHAVEN PL,790
DRAPER PL,1437
LEWISTON ST,2528
SHALE ST,3465
BRIDGETOWN ST,904
WILLOW RD W,4184
SIGNS RD,3497
ALPINE CT,538
JULES DR,2365
MERRILL AVE,2752
GRAVES ST,2024
GANSEVOORT BLVD,1923
BOLIVAR ST,860
ROCKLAND AVE,3316
WOOLLEY AVE,4230
ELWOOD AVE,1759
BOGOTA ST,859
FIELDS AVE,1839
RUPERT AVE,3359
CAROLINA CT,1039
CROWELL AVE,1287
GOODWIN AVE,1990
WINDSOR RD,4199
MARGARETTA CT,2684
MAINE AVE,2645
STEWART AVE,3612
SMITH CT,3516
BANGOR ST,682
ASHWORTH AVE,610
VASSAR ST,3827
FURNESS PL,1915
MONAHAN AVE,2797
WILD AVE,4166
MELVIN AVE,2741
ALBERTA AVE,520
CRAFTON AVE,1255
CARNEGIE AVE,1037
DAWSON CIR,1333
AMSTERDAM PL,557
BUCHANAN AVE,964
RICHARD LN,3271
GOWER ST,1998
CONSTANT AVE,1209
WESTCOTT BLVD,4134
LATIMER AVE,2487
MILDRED AVE,2773
ELSON ST,1752
MERRYMOUNT ST,2755
DELMORE ST,1365
KELLY BLVD,2393
EVANS ST,1787
LIVINGSTON AVE,2559
SUFFOLK AVE,3640
LATHROP AVE,2486
ST JOHN AVE,3559
WILLARD AVE,4169
COMSTOCK AVE,1198
LEVIT AVE,2524
KELL AVE,2392
FILLMORE AVE,1842
UXBRIDGE ST,3789
LESTER ST,2521
BEECHWOOD PL,779
ELVIN ST,1757
AUBURN AVE,623
ROOSEVELT AVE,3336
DECATUR AVE,1346
GLASCOE AVE,1969
INGRAM AVE,2294
LORTEL AVE,2591
WATERS AVE,4093
THE BLVD,3695
DARCEY AVE,1322
PURDUE ST,3178
WILLOW RD E,4183
JAFFE ST,2321
CRYSTAL AVE,1291
GADSEN PL,1918
OHIO PL,2973
MOTLEY AVE,2832
FRASER ST,1892
CASWELL LN,1059
KINGSBRIDGE AVE,2426
LONGDALE ST,2577
LEONARD AVE,2517
WARDWELL AVE,4076
NEAL DOW AVE,2886
IOWA PL,2301
QUEEN ST,3188
RAYMOND AVE,3225
DONNA CT,1417
DENTON PL,1368
GLENN RD,1977
NEHRING AVE,2889
BOWDOIN ST,877
LEGGETT PL,2509
SOMMER AVE,3524
BRIELLE AVE,906
LINCOLN ST,2540
DICKIE AVE,1390
SLOSSON AVE,3512
POLAND PL,3131
TODT HILL RD,3729
MELHORN RD,2737
ATHENA PL,618
VEDDER AVE,3829
WOODWARD AVE,4228
HALL AVE,2075
SOUTH AVE,3528
UTTER AVE,3788
NEVADA AVE,2898
CLINTON B FISK AVE,1152
JOSEPH AVE,2362
WAKEFIELD AVE,4058
SHENANDOAH AVE,3475
BASCOM PL,710
KINGSLEY AVE,2431
HAWTHORNE AVE,2142
CLIFTON ST,1150
SAYBROOK ST,3411
MARTIN AVE,2700
SHERADEN AVE,3478
SHEPARD AVE,3476
KNAPP ST,2440
CARREAU AVE,1042
N GANNON AVE,2857
WYONA AVE,4240
GURDON ST,2066
LYON PL,2620
PLANK RD,3117
PAULDING AVE,3057
RAVENHURST AVE,3223
SUMNER AVE,3649
24 ST,244
32 ST,276
43 ST,303
40 ST,297
23 ST,232
39 ST,293
25 ST,249
4 AVE,294
34 ST,280
5 AVE,321
37 ST,288
1 AVE,0
9 AVE,462
41 ST,299
44 ST,307
42 ST,301
26 ST,255
8 AVE,433
56 ST,346
SENATOR ST,3457
46 ST,313
50 ST,323
63 ST,375
47 ST,316
54 ST,338
NARROWS AVE,2873
BAY RIDGE AVE,743
COLONIAL RD,1185
RIDGE BLVD,3283
53 ST,335
VISTA PL,3861
BLISS TER,845
BERGEN PL,810
55 ST,341
65 ST,383
45 ST,310
49 ST,320
62 ST,373
58 ST,354
52 ST,331
59 ST,358
6 AVE,359
60 ST,366
7 AVE,400
67 ST,390
68 ST,395
48 ST,318
57 ST,349
66 ST,385
51 ST,326
61 ST,369
2 AVE,185
15 ST,116
WEST DR,4127
POLHEMUS PL,3134
MONTGOMERY PL,2808
GARFIELD PL,1930
JACKSON PL,2316
CALDER PL,1001
WHITWELL PL,4160
FISKE PL,1852
WEBSTER PL,4109
PROSPECT PARK SW,3170
SHERMAN ST,3484
10 ST,4
14 ST,89
19 ST,175
13 ST,67
9 ST,463
6 ST,360
12 ST,49
20 ST,190
WINCHESTER BLVD,4196
HILLSIDE AVE,2207
JERICHO TPKE,2341
ELKMONT AVE,1732
BRADDOCK AVE,888
88 AVE,457
93 AVE,472
COMMONWEALTH BLVD,1197
DAVENPORT AVE,1326
237 ST,240
246 ST,246
242 ST,245
